,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
322,Virginia Tech,34,19,15,.559,8.79,6.88,,7,9,,10,6,,5,6,,2470,2405,,,,.409,.318,.535,52.2,53.7,,12.0,.490,16.5,,.296
323,Virginia,28,10,18,.357,5.87,8.34,,4,12,,9,8,,1,9,,1960,2029,,,,.323,.294,.505,51.0,49.6,,9.9,.463,17.6,,.239
324,Wagner,30,16,14,.533,-10.39,-8.60,,8,10,,8,6,,8,8,,2021,2049,,,,.364,.358,.536,49.3,58.2,,8.7,.515,19.3,,.228
325,Wake Forest NCAA,31,24,7,.774,15.63,7.36,,11,5,,14,1,,7,4,,2510,2193,,,,.435,.213,.563,53.9,44.7,,14.1,.524,18.1,,.309
326,Washington State,33,17,16,.515,11.29,7.50,,8,10,,9,7,,5,7,,1954,1829,,,,.270,.318,.525,52.3,57.3,,13.1,.488,16.8,,.208
327,Washington NCAA,35,26,9,.743,16.78,8.19,,14,4,,18,1,,6,4,,2750,2431,,,,.435,.203,.534,55.5,46.9,,6.3,.492,16.7,,.304
328,Weber State,31,21,10,.677,1.11,-2.39,,15,1,,10,3,,9,6,,2175,2055,,,,.402,.403,.583,50.0,50.7,,10.5,.548,19.3,,.294
329,West Virginia NCAA,35,23,12,.657,18.57,8.34,,10,8,,11,3,,7,5,,2521,2163,,,,.359,.340,.521,54.1,59.8,,12.5,.485,14.8,,.251
330,Western Carolina,31,16,15,.516,-7.17,-5.13,,11,9,,11,2,,3,11,,2293,2251,,,,.314,.348,.524,51.4,45.8,,8.3,.502,16.9,,.199
331,Western Illinois,29,9,20,.310,-10.86,-4.04,,6,12,,5,6,,3,12,,1701,1889,,,,.306,.288,.524,47.3,58.0,,5.2,.492,18.5,,.218
332,Western Kentucky NCAA,34,25,9,.735,3.68,-1.23,,15,3,,13,0,,7,7,,2454,2278,,,,.335,.370,.549,53.4,52.1,,8.6,.520,16.8,,.231
333,Western Michigan,31,10,21,.323,-5.69,-3.19,,7,9,,7,7,,3,10,,1918,2004,,,,.400,.395,.500,49.3,53.3,,8.7,.455,17.7,,.280
334,Wichita State,34,17,17,.500,2.05,2.08,,8,10,,14,3,,1,11,,2138,2124,,,,.338,.331,.523,53.8,58.8,,10.3,.491,18.8,,.232
335,William & Mary,30,10,20,.333,-5.97,-2.79,,5,13,,7,8,,2,11,,1844,1903,,,,.315,.410,.504,50.2,62.2,,6.7,.477,18.8,,.205
336,Winston-Salem,30,8,22,.267,,,,,,,3,8,,5,11,,1741,2022,,,,.351,.291,.453,47.3,44.3,,7.6,.429,21.5,,.200
337,Winthrop,30,11,19,.367,-11.46,-4.54,,9,9,,7,6,,4,12,,1833,1991,,,,.262,.292,.476,49.0,47.8,,12.0,.447,17.3,,.176
338,Wisconsin NCAA,33,20,13,.606,12.43,8.43,,10,8,,13,3,,4,7,,2106,1948,,,,.346,.351,.536,52.0,53.5,,7.8,.499,14.4,,.251
339,Wofford,30,16,14,.533,-7.04,-5.45,,12,8,,8,4,,8,9,,2065,2070,,,,.383,.323,.545,51.4,54.7,,4.2,.512,17.6,,.264
340,Wright State,33,20,13,.606,3.20,0.23,,12,6,,11,4,,5,9,,1995,1897,,,,.406,.354,.509,47.8,55.4,,7.7,.467,17.2,,.280
341,Wyoming,33,19,14,.576,0.67,3.53,,7,9,,12,4,,3,9,,2471,2450,,,,.534,.340,.573,51.0,51.9,,9.0,.524,17.9,,.388
342,Xavier NCAA,35,27,8,.771,14.45,4.65,,12,4,,14,1,,7,4,,2508,2165,,,,.461,.329,.557,55.9,54.8,,13.0,.524,18.5,,.311
343,Yale,28,13,15,.464,-7.29,-5.17,,8,6,,8,3,,5,12,,1772,1784,,,,.396,.233,.515,51.1,57.9,,8.9,.481,20.1,,.262
344,Youngstown State,30,11,19,.367,-5.25,-0.11,,7,11,,7,9,,4,10,,1981,2067,,,,.357,.286,.495,50.5,55.0,,9.0,.462,16.7,,.232
