,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
131,Louisiana State,27,12,15,.444,6.00,7.48,,6,10,,,,,,,,2151,2191,,,,.323,.306,.527,51.9,60.6,,11.6,.499,20.3,,.217
132,Louisiana Tech,27,14,13,.519,-5.62,-5.42,,9,9,,,,,,,,1735,1718,,,,.493,.214,.520,50.5,47.7,,3.1,.482,21.5,,.319
133,Louisville NCAA,33,19,14,.576,11.60,7.81,,7,5,,,,,,,,2521,2396,,,,.329,.317,.552,48.6,55.7,,13.0,.528,18.4,,.221
134,Loyola (IL),27,5,22,.185,-11.99,-1.65,,2,13,,,,,,,,1803,2053,,,,.387,.246,.494,45.8,57.6,,8.7,.455,19.4,,.261
135,Loyola Marymount,28,13,15,.464,-1.18,0.42,,4,10,,,,,,,,2056,2058,,,,.438,.252,.529,51.9,54.4,,8.3,.498,20.8,,.282
136,Loyola (MD),27,9,18,.333,-9.77,-2.25,,5,9,,,,,,,,1852,2055,,,,.421,.267,.495,48.0,53.4,,5.2,.447,19.1,,.294
137,Maine,27,11,16,.407,-9.16,-4.42,,6,10,,,,,,,,1860,1988,,,,.406,.245,.475,50.6,47.5,,8.0,.442,18.0,,.248
138,Manhattan NCAA,31,26,5,.839,9.12,-3.91,,12,2,,,,,,,,2333,1929,,,,.435,.237,.557,53.0,58.1,,9.7,.527,17.3,,.288
139,Marist,28,17,11,.607,-5.09,-8.95,,12,6,,,,,,,,2135,2027,,,,.408,.311,.572,52.2,55.4,,11.0,.536,18.3,,.294
140,Marquette,33,21,12,.636,11.98,5.79,,7,5,,,,,,,,2339,2135,,,,.407,.362,.504,51.3,62.6,,12.4,.473,16.2,,.258
141,Marshall,27,18,9,.667,-0.65,-5.99,,10,4,,,,,,,,2279,2095,,,,.376,.401,.559,48.5,54.4,,9.8,.520,19.1,,.279
142,Maryland-Baltimore County,27,13,14,.481,-9.22,-6.26,,10,6,,,,,,,,1788,1839,,,,.363,.319,.496,50.3,62.6,,13.7,.463,19.5,,.237
143,Maryland-Eastern Shore,27,13,14,.481,-15.97,-12.23,,9,7,,,,,,,,1895,1898,,,,.344,.205,.516,48.8,44.2,,8.2,.482,16.4,,.236
144,Maryland NCAA,34,26,8,.765,22.69,10.44,,12,4,,,,,,,,2946,2514,,,,.475,.244,.578,54.5,61.9,,11.9,.541,17.2,,.335
145,Massachusetts NCAA,34,29,5,.853,23.19,8.07,,13,3,,,,,,,,2749,2235,,,,.399,.244,.534,54.5,58.0,,17.8,.504,16.2,,.263
146,McNeese State,27,11,16,.407,-10.58,-7.32,,7,11,,,,,,,,2095,2183,,,,.403,.332,.537,46.1,66.8,,4.9,.511,18.0,,.258
147,Memphis NCAA,34,24,10,.706,14.40,5.81,,9,3,,,,,,,,2701,2409,,,,.365,.248,.533,52.8,61.4,,15.5,.509,18.3,,.233
148,Mercer,29,15,14,.517,-6.85,-5.70,,8,8,,,,,,,,2262,2269,,,,.406,.271,.527,50.5,38.9,,11.6,.496,17.4,,.266
149,Miami (FL),28,15,13,.536,2.41,4.45,,9,9,,,,,,,,1831,1888,,,,.349,.299,.483,50.3,57.7,,11.3,.449,20.4,,.227
150,Miami (OH) NCAA,30,23,7,.767,10.10,0.86,,16,2,,,,,,,,2119,1827,,,,.400,.305,.539,50.7,52.7,,7.8,.507,16.3,,.269
151,Michigan State NCAA,28,22,6,.786,17.49,7.92,,14,4,,,,,,,,2194,1926,,,,.338,.233,.568,54.8,55.7,,4.0,.546,16.9,,.227
152,Michigan NCAA,31,17,14,.548,9.81,8.94,,11,7,,,,,,,,2188,2161,,,,.347,.222,.504,51.9,46.1,,11.0,.475,19.4,,.224
153,Middle Tennessee,27,12,15,.444,-13.59,-6.68,,5,11,,,,,,,,1934,2034,,,,.363,.166,.490,50.9,52.0,,6.3,.455,22.5,,.239
154,Milwaukee,27,3,24,.111,-17.01,-3.71,,2,13,,,,,,,,1824,2171,,,,.385,.304,.476,45.6,43.9,,3.7,.426,17.5,,.274
155,Minnesota NCAA,31,19,12,.613,13.96,6.31,,10,8,,,,,,,,2360,2123,,,,.355,.309,.519,53.0,61.4,,7.2,.484,17.5,,.245
156,Mississippi State NCAA,30,22,8,.733,17.28,8.48,,12,4,,,,,,,,2201,1937,,,,.359,.374,.546,51.9,61.2,,11.1,.515,19.6,,.249
